"coin","ym","daily_vol","annualized_vol","monthly_vol"
"Bitcoin","201304",5.872,111.413,32.162
"Bitcoin","201305",4.268,80.98,23.377
"Bitcoin","201306",3.244,61.551,17.768
"Bitcoin","201307",5.572,105.721,30.519
"Bitcoin","201308",2.605,49.426,14.268
"Bitcoin","201309",2.994,56.807,16.399
"Bitcoin","201310",5.244,99.498,28.723
"Bitcoin","201311",9.991,189.566,54.723
"Bitcoin","201312",11.303,214.459,61.909
"Bitcoin","201401",5.177,98.227,28.356
"Bitcoin","201402",4.737,89.878,25.946
"Bitcoin","201403",5.413,102.704,29.648
"Bitcoin","201404",6.103,115.796,33.428
"Bitcoin","201405",3.106,58.932,17.012
"Bitcoin","201406",2.754,52.253,15.084
"Bitcoin","201407",1.347,25.558,7.378
"Bitcoin","201408",2.972,56.39,16.278
"Bitcoin","201409",2.988,56.693,16.366
"Bitcoin","201410",3.232,61.323,17.702
"Bitcoin","201411",3.819,72.46,20.918
"Bitcoin","201412",2.295,43.545,12.57
"Bitcoin","201501",7.372,139.874,40.378
"Bitcoin","201502",3.741,70.98,20.49
"Bitcoin","201503",3.246,61.589,17.779
"Bitcoin","201504",2.418,45.878,13.244
"Bitcoin","201505",1.377,26.127,7.542
"Bitcoin","201506",1.611,30.567,8.824
"Bitcoin","201507",2.483,47.112,13.6
"Bitcoin","201508",4.317,81.909,23.645
"Bitcoin","201509",1.287,24.419,7.049
"Bitcoin","201510",1.917,36.373,10.5
"Bitcoin","201511",4.948,93.882,27.101
"Bitcoin","201512",3.205,60.811,17.555
"Bitcoin","201601",4.259,80.809,23.328
"Bitcoin","201602",1.9,36.05,10.407
"Bitcoin","201603",1.308,24.818,7.164
"Bitcoin","201604",1.218,23.11,6.671
"Bitcoin","201605",2.515,47.719,13.775
"Bitcoin","201606",4.793,90.941,26.252
"Bitcoin","201607",2.42,45.916,13.255
"Bitcoin","201608",2.118,40.186,11.601
"Bitcoin","201609",1.135,21.535,6.217
"Bitcoin","201610",1.351,25.633,7.4
"Bitcoin","201611",1.921,36.448,10.522
"Bitcoin","201612",1.932,36.657,10.582
"Bitcoin","201701",5.047,95.76,27.644
"Bitcoin","201702",2.054,38.972,11.25
"Bitcoin","201703",4.788,90.846,26.225
"Bitcoin","201704",1.65,31.307,9.037
"Bitcoin","201705",4.177,79.253,22.878
"Bitcoin","201706",4.002,75.933,21.92
"Bitcoin","201707",6.444,122.266,35.295
"Bitcoin","201708",3.605,68.4,19.745
"Bitcoin","201709",6.5,123.329,35.602
"Bitcoin","201710",3.576,67.85,19.587
"Bitcoin","201711",4.475,84.907,24.511
"Bitcoin","201712",8.698,165.033,47.641
"Bitcoin","201801",6.379,121.033,34.939
