"id","name","createDate","category","lon","lat"
8225,"One And All",2016-06-14,"atm",-5.53289830684662,50.1220639499942
42,"Belle Modeste",2014-04-11,"default",24.9390492,60.1605345
15,"Slaters Meats",2014-03-07,"grocery",-123.3124115,48.4377466
33,"kaktusy eshop",2015-01-24,"default",14.3588965,50.0658333
3,"Pembury Tavern",2013-06-09,"food",-0.0593789,51.5493776
4,"Tietokonekauppa",2014-12-06,"shopping",22.2818123,60.4456862
5,"Bandholm Hotel",2013-04-14,"lodging",11.4862062,54.8370236
8,"SierraHosts.net",2013-12-11,"default",-121.0165666,39.2615749
7,"Helkan Baari",2014-04-30,"nightlife",24.927098,60.169775
10,"Costa Rica Travel Market LLC",2014-01-11,"default",-104.9362682,39.7146512
9,"Bio Oko",2014-12-19,"attraction",14.4299522,50.0999576
12,"MIT Coop",2014-09-05,"shopping",-71.0863982,42.3626795
11,"SurajShkathi",2013-12-28,"default",80.2507557,13.052391
14,"The Dubliner",2014-06-07,"food",12.5789419,55.6786451
6,"Deborah Hodgson Vamp Couture",2013-11-28,"default",-122.4504132,37.7705183
16,"Coalheavers Arms",2013-06-09,"food",-0.2457512,52.5621339
17,"Monomatapa Hotel",2014-11-26,"lodging",31.0469154,-17.825695
18,"E. S. LES ALEGRIES",2015-02-18,"transport",2.830864,41.713569
19,"Pizzeria OroStube",2014-12-19,"food",11.1504525,46.0647594
20,"StarBikes Rental",2015-01-22,"transport",4.9080895,52.3774607
21,"Electronic Tour Guide Rental Point, Art Elephants souvenir & gift shop",2014-07-26,"default",14.4169321,50.0859427
22,"Romana Dvoráková",2013-12-14,"default",12.8808408,50.2330492
23,"Locus Workspace - Slezská | Coworkingové centrum",2013-10-22,"default",14.4519789,50.0763866
27,"STARSKY DIGITAL AGENCY",2013-12-09,"default",14.4191508,50.0816786
28,"GOURMETKAVA.CZ (výdejní místo na vyžádání emailem)",2014-01-02,"default",14.4629394,50.0777622
31,"Salva_Quardia",2014-05-12,"default",17.2932786,49.6142365
34,"Studio Najbrt",2015-04-02,"default",14.3983579,50.0669199
35,"Jeli-design | Interiérový design",2013-12-12,"shopping",14.4747797,50.1092795
36,"HUG BikeShop",2015-03-23,"shopping",24.9259094,60.1623144
37,"The Port Royal",2014-03-01,"food",-3.526299,50.7156495
38,"Hard Rock Café",2014-11-06,"food",-3.6895592,40.4262919
39,"Petit Palace President Castellana",2014-11-06,"lodging",-3.6881547,40.4292318
40,"Alice Homemade",2014-03-17,"food",4.4544669,50.8687731
41,"Room 77",2013-04-14,"food",13.4179531,52.493019
258,"Nin Com Soup",2015-01-22,"food",-0.0876143,51.5255775
29,"Justiz-Caps",2014-01-08,"default",14.4534252,50.0950734
1,"Devonshire Arms",2013-06-09,"food",0.1390513,52.1989253
2,"Port Stephens Motor Lodge",2014-10-02,"lodging",152.150097,-32.7187665
